winner,total_rocks,total_turn,ai_1_reflection,ai_2_reflection,ai_1_warning,ai_2_warning,player_1_capture,player_2_capture,value_weight,value_func_player,value_func_opponent
1,73,36,44547.394037246704,4424.938440322876,23,0,4,4,0.4,[2.4, 0.6, 4.3, 0.2, 1.7],[-0.9, -1.3, -3.6, -0.5, -3.3]
1,35,17,5556.006193161011,8696.670770645142,3,7,8,0,0.3,[0.1, 1.1, 2.8, 3.4, 4.5],[-0.2, -2.3, -1.6, -1.3, -0.7]
1,17,8,2493.3974742889404,457.26609230041504,2,0,0,0,0.2,[2.3, 3.3, 0.2, 3.0, 0.7],[-4.1, -1.1, -0.5, -2.7, -1.8]
1,67,33,33958.89210700989,7354.143142700195,21,4,6,6,0.9,[4.5, 2.9, 4.6, 2.1, 2.4],[-2.1, -0.6, -0.1, -3.0, -3.3]
1,33,16,9134.371280670166,1244.1480159759521,7,0,0,6,0.7,[3.5, 2.6, 0.9, 2.1, 2.2],[-1.4, -4.8, -3.7, -3.1, -2.2]
1,17,8,2435.30011177063,510.79416275024414,2,0,0,0,0.5,[2.1, 4.0, 1.1, 0.9, 0.8],[-3.1, -1.9, -3.1, -4.6, -3.5]
1,23,11,3780.243158340454,957.897424697876,4,0,4,0,0.5,[0.6, 4.8, 3.2, 3.8, 1.4],[-3.8, -1.9, -4.7, -4.0, -1.8]
2,18,9,7104.083299636841,506.636381149292,7,0,0,2,0.6,[4.9, 1.4, 0.8, 1.6, 1.7],[-3.8, -3.4, -0.4, -2.3, -0.3]
1,17,8,2480.8602333068848,526.4816284179688,2,0,0,0,1.0,[3.1, 3.0, 1.3, 4.7, 1.4],[-3.7, -0.8, -1.8, -4.0, -4.2]
2,18,9,7979.3078899383545,504.8336982727051,7,0,0,2,0.5,[3.2, 3.7, 1.5, 4.1, 1.9],[-2.3, -0.7, -2.1, -3.5, -1.1]
1,91,45,57058.35700035095,8564.062595367432,35,3,10,8,0.0,[4.6, 4.4, 2.1, 4.9, 0.6],[-2.0, -4.7, -2.1, -4.7, -1.5]
2,42,21,21816.099882125854,2313.670873641968,17,1,2,4,0.6,[4.1, 3.4, 1.4, 2.0, 3.6],[-3.1, -4.9, -3.0, -2.2, -1.2]
2,18,9,7300.630807876587,503.45683097839355,7,0,0,2,0.3,[4.4, 4.7, 1.7, 1.3, 4.9],[-4.3, -2.6, -0.2, -0.0, -2.1]
1,31,15,4762.889862060547,2076.957941055298,4,0,4,0,0.6,[4.9, 3.1, 2.8, 2.7, 0.0],[-3.1, -2.5, -4.8, -3.2, -0.2]
2,18,9,7159.198760986328,506.941556930542,7,0,0,2,0.6,[3.4, 4.8, 3.2, 1.3, 3.5],[-3.4, -0.2, -1.1, -2.3, -0.1]
1,41,20,16008.21590423584,2207.089424133301,12,1,6,0,0.5,[4.2, 2.9, 1.8, 3.2, 2.8],[-2.7, -4.0, -2.7, -0.8, -0.6]
2,84,42,105287.65153884888,13862.352848052979,26,11,6,10,0.7,[2.8, 1.1, 2.5, 2.6, 1.4],[-0.6, -1.9, -0.0, -4.4, -1.4]
1,61,30,25549.226760864258,4350.299596786499,17,1,8,6,0.6,[2.1, 3.4, 0.1, 0.5, 2.1],[-4.4, -4.4, -3.3, -1.4, -3.5]
1,27,13,3241.462469100952,1261.627435684204,3,0,2,0,0.1,[0.4, 4.9, 4.4, 3.1, 4.7],[-4.4, -2.7, -2.7, -2.5, -4.3]
1,29,14,6222.748279571533,4321.308374404907,4,4,8,2,0.6,[0.3, 1.5, 4.0, 3.6, 2.6],[-0.1, -1.0, -2.7, -1.3, -2.3]
1,43,21,16865.61417579651,1942.6343441009521,14,0,2,2,0.2,[1.9, 2.8, 1.1, 0.9, 0.5],[-1.0, -3.4, -3.8, -0.9, -4.2]
1,39,19,14305.184364318848,2393.5372829437256,10,1,6,2,0.9,[0.1, 4.3, 4.7, 3.7, 1.0],[-0.2, -1.0, -0.5, -4.3, -1.9]
2,38,19,21246.173620224,832.4155807495117,13,0,2,4,0.1,[0.2, 1.2, 3.3, 0.4, 1.1],[-4.0, -4.5, -2.5, -0.9, -0.7]
2,58,29,35599.096059799194,5871.737718582153,19,3,0,2,0.7,[4.8, 3.5, 3.2, 3.2, 2.0],[-0.4, -2.3, -4.3, -4.1, -0.1]
1,47,23,21750.12445449829,5271.348476409912,18,4,6,6,0.8,[4.0, 1.0, 1.6, 3.1, 1.5],[-1.9, -2.6, -2.4, -2.3, -2.6]
2,38,19,18409.356594085693,960.3006839752197,14,0,0,4,0.6,[1.1, 4.6, 0.3, 1.9, 2.6],[-1.2, -0.4, -4.8, -1.7, -2.7]
1,51,25,14589.993715286255,2957.4365615844727,11,0,2,0,0.4,[2.1, 3.2, 0.4, 4.3, 3.0],[-3.6, -1.3, -0.4, -4.5, -0.8]
2,38,19,25561.572551727295,1585.162878036499,14,0,2,8,0.3,[3.4, 2.4, 3.6, 1.5, 4.6],[-0.1, -2.8, -2.4, -4.5, -1.5]
1,31,15,7890.55323600769,1437.6318454742432,8,0,6,2,0.4,[1.3, 1.7, 2.0, 1.7, 1.5],[-3.4, -1.4, -4.1, -3.3, -0.1]
1,77,38,40497.51663208008,5319.5366859436035,21,1,6,8,0.7,[1.4, 2.0, 1.0, 3.7, 1.5],[-3.0, -0.0, -2.6, -4.1, -4.5]
